Model,R2,MSE,MAE
LinearRegression,0.7553372094776039,12.195828450565141,3.0387450633594613
Ridge,0.7553942982631171,12.192982717329272,3.0319677622387333
Lasso,0.6577798005938216,17.058821389899485,3.3467941160451438
KNNRegressor,0.5921961984051356,20.328000000000003,3.9
RandomForestRegressor,0.6279326947188928,18.546624999999995,3.4735
GradientBoostingRegressor,0.5960537372561081,20.135711332126153,3.693363194482952
XGBoostRegressor,0.6793785095214844,15.982179641723633,3.3709137439727783
